model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,0.986,accuracy,0.016933679580688477,7.232465744018555,0.0008223056793212891,0.08261227607727051,2,True,12
NeuralNetFastAI,0.984,accuracy,0.011783838272094727,5.355607032775879,0.011783838272094727,5.355607032775879,1,True,8
LightGBM,0.98,accuracy,0.0031273365020751953,1.6634650230407715,0.0031273365020751953,1.6634650230407715,1,True,2
LightGBMXT,0.98,accuracy,0.01137685775756836,6.2864439487457275,0.01137685775756836,6.2864439487457275,1,True,1
CatBoost,0.978,accuracy,0.0019903182983398438,8.980087280273438,0.0019903182983398438,8.980087280273438,1,True,5
XGBoost,0.978,accuracy,0.004327535629272461,1.7942464351654053,0.004327535629272461,1.7942464351654053,1,True,9
NeuralNetTorch,0.976,accuracy,0.005038261413574219,9.302696228027344,0.005038261413574219,9.302696228027344,1,True,10
LightGBMLarge,0.974,accuracy,0.022635936737060547,5.192814588546753,0.022635936737060547,5.192814588546753,1,True,11
RandomForestEntr,0.962,accuracy,0.0748138427734375,5.088484048843384,0.0748138427734375,5.088484048843384,1,True,4
RandomForestGini,0.962,accuracy,0.08547854423522949,10.99388861656189,0.08547854423522949,10.99388861656189,1,True,3
ExtraTreesGini,0.956,accuracy,0.07673931121826172,0.9485018253326416,0.07673931121826172,0.9485018253326416,1,True,6
ExtraTreesEntr,0.956,accuracy,0.08526992797851562,1.0034737586975098,0.08526992797851562,1.0034737586975098,1,True,7
